sample,mpu1AccX,mpu1AccY,mpu1AccZ,mpu1GyrX,mpu1GyrY,mpu1GyrZ,mpu1Temp,mpu2AccX,mpu2AccY,mpu2AccZ,mpu2GyrX,mpu2GyrY,mpu2GyrZ,mpu2Temp,ds18b20One,ds18b20Two
1,-3.334,1.454,9.786,1.992,-2.756,1.924,16.34,-3.334,1.454,9.786,1.992,-2.756,1.924,16.34,16.34,16.34
2,1.008,-0.381,9.966,3.328,5.015,1.466,16.34,1.008,-0.381,9.966,3.328,5.015,1.466,16.34,16.34,16.34
3,-0.271,-1.027,10.49,1.611,-2.527,2.878,16.15,-0.271,-1.027,10.49,1.611,-2.527,2.878,16.15,16.15,16.15
4,1.32,-0.934,10.368,0.366,3.366,4.031,16.25,1.32,-0.934,10.368,0.366,3.366,4.031,16.25,16.25,16.25
5,-3.892,0.304,10.26,-1.313,-1.687,1.359,16.25,-3.892,0.304,10.26,-1.313,-1.687,1.359,16.25,16.25,16.25
6,-2.151,-0.419,10.279,-2.168,-2.16,1.641,16.25,-2.151,-0.419,10.279,-2.168,-2.16,1.641,16.25,16.25,16.25
7,-1.305,0.891,9.53,-2.038,4.557,0.229,16.06,-1.305,0.891,9.53,-2.038,4.557,0.229,16.06,16.06,16.06
8,-3.901,1.171,9.654,-2.908,-1.366,-2.611,15.87,-3.901,1.171,9.654,-2.908,-1.366,-2.611,15.87,15.87,15.87
9,2.021,0.572,9.46,-0.863,5.267,-0.481,16.06,2.021,0.572,9.46,-0.863,5.267,-0.481,16.06,16.06,16.06
10,0.055,1.449,9.46,-1.198,5.275,-2.466,16.25,0.055,1.449,9.46,-1.198,5.275,-2.466,16.25,16.25,16.25
11,-2.024,2.211,9.841,-1.511,2.519,-3.366,16.15,-2.024,2.211,9.841,-1.511,2.519,-3.366,16.15,16.15,16.15
12,-2.738,1.782,9.863,-1.282,-2.519,-2.45,16.06,-2.738,1.782,9.863,-1.282,-2.519,-2.45,16.06,16.06,16.06
13,2.462,1.011,9.369,2.55,4.58,-1.076,16.06,2.462,1.011,9.369,2.55,4.58,-1.076,16.06,16.06,16.06
14,-0.723,2.352,9.132,1.641,3.244,-2.817,16.15,-0.723,2.352,9.132,1.641,3.244,-2.817,16.15,16.15,16.15
15,-1.789,1.526,10.335,2.458,-3.458,-0.718,16.06,-1.789,1.526,10.335,2.458,-3.458,-0.718,16.06,16.06,16.06
16,1.88,-0.35,10.385,4.763,2.542,2.656,16.06,1.88,-0.35,10.385,4.763,2.542,2.656,16.06,16.06,16.06
17,-0.948,1.324,9.58,3.13,3.733,0.924,16.34,-0.948,1.324,9.58,3.13,3.733,0.924,16.34,16.34,16.34
18,-2.591,0.96,10.126,2.076,-3.069,2.763,16.25,-2.591,0.96,10.126,2.076,-3.069,2.763,16.25,16.25,16.25
19,1.063,-0.465,10.033,3.237,1.939,4.359,16.15,1.063,-0.465,10.033,3.237,1.939,4.359,16.15,16.15,16.15
20,-0.857,0.651,9.839,3.008,4.748,1.595,16.15,-0.857,0.651,9.839,3.008,4.748,1.595,16.15,16.15,16.15
21,-3.909,0.268,10.421,0.847,-2.878,1.969,16.25,-3.909,0.268,10.421,0.847,-2.878,1.969,16.25,16.25,16.25
22,-3.597,-0.144,10.236,-1.748,-2.382,2.389,16.15,-3.597,-0.144,10.236,-1.748,-2.382,2.389,16.15,16.15,16.15
23,-2.17,-0.857,10.442,-1.481,-2.053,1.649,16.15,-2.17,-0.857,10.442,-1.481,-2.053,1.649,16.15,16.15,16.15
24,-1.291,0.857,9.508,-2.511,5.076,0.214,16.25,-1.291,0.857,9.508,-2.511,5.076,0.214,16.25,16.25,16.25
25,-2.637,1.564,9.815,-2.924,1.458,-3.29,16.06,-2.637,1.564,9.815,-2.924,1.458,-3.29,16.06,16.06,16.06
26,-0.026,0.101,10.227,-0.687,1.137,-0.42,16.15,-0.026,0.101,10.227,-0.687,1.137,-0.42,16.15,16.15,16.15
27,1.995,1.059,9.432,0.015,5.069,-1.443,16.06,1.995,1.059,9.432,0.015,5.069,-1.443,16.06,16.06,16.06
28,-4.079,1.621,9.834,-2.527,-0.992,-3.771,16.06,-4.079,1.621,9.834,-2.527,-0.992,-3.771,16.06,16.06,16.06
29,-2.23,1.346,10.181,-1.382,-2.718,-2.58,15.92,-2.23,1.346,10.181,-1.382,-2.718,-2.58,15.92,15.92,15.92
30,0.678,2.424,9.094,1.168,6.42,-1.496,16.15,0.678,2.424,9.094,1.168,6.42,-1.496,16.15,16.15,16.15
31,-1.461,2.448,9.441,1.397,3.55,-3.687,16.06,-1.461,2.448,9.441,1.397,3.55,-3.687,16.06,16.06,16.06
32,0.321,1.193,9.616,2.229,-1.053,-2.046,16.06,0.321,1.193,9.616,2.229,-1.053,-2.046,16.06,16.06,16.06
33,-0.536,2.225,9.3,2.809,3.496,-1.809,16.25,-0.536,2.225,9.3,2.809,3.496,-1.809,16.25,16.25,16.25
34,-2.512,1.332,10.358,2.656,-3.336,0.076,16.06,-2.512,1.332,10.358,2.656,-3.336,0.076,16.06,16.06,16.06
35,1.643,0.201,10.069,3.519,2.305,3.023,16.25,1.643,0.201,10.069,3.519,2.305,3.023,16.25,16.25,16.25
36,-0.805,1.368,9.659,3.321,4.084,1.366,16.25,-0.805,1.368,9.659,3.321,4.084,1.366,16.25,16.25,16.25
